"workerid","A","B","percent","read_and_decide_time","quant","read_time_one","response","qq","percent_cat","resp","rt_too_quick"
1,"""werner""","""hurmer""",61,797,"More than half",128,"true","More than half","61-75",1,FALSE
1,"""jallem""","""sildal""",42,847,"Fewer than half",112,"true","Fewer than half","41-50",0,FALSE
1,"""ingell""","""nalill""",11,760,"Few",128,"false","Few","1-25",1,FALSE
1,"""pengyl""","""sedest""",56,975,"More than half",128,"true","More than half","51-60",1,FALSE
1,"""tiklet""","""hullaw""",55,888,"Fewer than half",112,"true","Fewer than half","51-60",0,FALSE
1,"""kustle""","""reshix""",60,784,"Fewer than half",175,"true","Fewer than half","51-60",0,FALSE
1,"""spunge""","""wenple""",71,728,"Fewer than half",128,"true","Fewer than half","61-75",0,FALSE
1,"""sporer""","""firtly""",3,689,"Many",152,"true","Many","1-25",1,FALSE
1,"""umpond""","""marire""",61,1288,"Many",112,"true","Many","61-75",1,FALSE
1,"""monter""","""melelt""",81,881,"Many",119,"true","Many","76-100",1,FALSE
1,"""ingell""","""nalill""",10,608,"More than half",127,"false","More than half","1-25",0,FALSE
1,"""shurry""","""preser""",7,720,"Most",104,"false","Most","1-25",0,FALSE
1,"""umpond""","""marire""",33,1041,"Fewer than half",88,"true","Fewer than half","26-40",0,FALSE
1,"""zetten""","""unfobs""",3,591,"Most",216,"false","Most","1-25",0,FALSE
1,"""fleeve""","""scalfs""",51,776,"Fewer than half",143,"true","Fewer than half","51-60",0,FALSE
1,"""chevel""","""podden""",46,888,"Few",143,"true","Few","41-50",0,FALSE
1,"""monter""","""melelt""",31,799,"Most",159,"false","Most","26-40",0,FALSE
1,"""hadder""","""ollidy""",6,633,"Most",119,"false","Most","1-25",0,FALSE
1,"""menner""","""nandow""",36,810,"Many",128,"true","Many","26-40",1,FALSE
1,"""strant""","""potind""",43,791,"Many",152,"true","Many","41-50",1,FALSE
1,"""middor""","""drooty""",40,721,"Few",136,"true","Few","26-40",0,FALSE
1,"""chadop""","""shaple""",75,553,"More than half",111,"true","More than half","61-75",1,FALSE
1,"""middor""","""drooty""",23,599,"Most",111,"false","Most","1-25",0,FALSE
1,"""tecker""","""biller""",36,481,"Many",120,"true","Many","26-40",1,FALSE
1,"""shamer""","""bloifs""",52,600,"More than half",127,"true","More than half","51-60",1,FALSE
1,"""umpond""","""marire""",71,568,"Most",111,"true","Most","61-75",1,FALSE
1,"""pliper""","""sesare""",23,616,"Fewer than half",144,"false","Fewer than half","1-25",1,FALSE
1,"""clidge""","""hensly""",30,817,"Most",120,"false","Most","26-40",0,FALSE
1,"""chevel""","""podden""",55,945,"Most",151,"true","Most","51-60",1,FALSE
1,"""raster""","""movell""",31,720,"More than half",160,"false","More than half","26-40",0,FALSE
1,"""puggle""","""entand""",66,682,"Few",185,"true","Few","61-75",0,FALSE
1,"""shurry""","""preser""",34,672,"Few",128,"true","Few","26-40",0,FALSE
1,"""pluset""","""stubad""",33,648,"Many",143,"true","Many","26-40",1,FALSE
1,"""pirter""","""secent""",78,666,"Most",144,"true","Most","76-100",1,FALSE
1,"""tiklet""","""hullaw""",27,656,"Few",207,"false","Few","26-40",1,FALSE
1,"""coppar""","""hunene""",91,1016,"Many",176,"true","Many","76-100",1,FALSE
1,"""cosutz""","""spover""",51,784,"Many",144,"true","Many","51-60",1,FALSE
1,"""puggle""","""entand""",41,759,"Many",160,"true","Many","41-50",1,FALSE
1,"""bameta""","""unzast""",40,793,"Fewer than half",152,"true","Fewer than half","26-40",0,FALSE
1,"""chadop""","""shaple""",57,599,"Few",136,"true","Few","51-60",0,FALSE
1,"""werner""","""hurmer""",72,921,"Few",160,"true","Few","61-75",0,FALSE
1,"""beckel""","""racual""",79,744,"Many",152,"true","Many","76-100",1,FALSE
1,"""ancits""","""smeath""",77,625,"Many",112,"true","Many","76-100",1,FALSE
1,"""russer""","""huttle""",28,721,"Many",151,"false","Many","26-40",0,FALSE
1,"""strant""","""potind""",80,744,"Few",112,"true","Few","76-100",0,FALSE
1,"""bameta""","""unzast""",19,943,"Many",152,"false","Many","1-25",0,FALSE
1,"""spunge""","""wenple""",92,873,"Few",127,"true","Few","76-100",0,FALSE
1,"""boddle""","""molill""",47,1032,"Few",190,"true","Few","41-50",0,FALSE
1,"""puctor""","""recure""",16,1976,"Few",192,"false","Few","1-25",1,FALSE
1,"""tecker""","""biller""",93,664,"Few",151,"true","Few","76-100",0,FALSE
1,"""schook""","""jabant""",26,984,"Few",191,"false","Few","26-40",1,FALSE
1,"""awplor""","""fasees""",52,889,"Most",128,"true","Most","51-60",1,FALSE
1,"""gukbar""","""soarse""",92,624,"More than half",127,"true","More than half","76-100",1,FALSE
1,"""bameta""","""unzast""",86,727,"Most",136,"true","Most","76-100",1,FALSE
1,"""bameta""","""unzast""",11,721,"Few",168,"false","Few","1-25",1,FALSE
1,"""boddle""","""molill""",95,600,"Most",160,"true","Most","76-100",1,FALSE
1,"""isbant""","""unairs""",26,624,"Fewer than half",144,"false","Fewer than half","26-40",1,FALSE
1,"""pirter""","""secent""",36,826,"Fewer than half",152,"false","Fewer than half","26-40",1,FALSE
1,"""padnet""","""fanely""",66,800,"Most",151,"true","Most","61-75",1,FALSE
1,"""tecker""","""biller""",9,712,"More than half",150,"false","More than half","1-25",0,FALSE
1,"""gukbar""","""soarse""",51,681,"Many",119,"true","Many","51-60",1,FALSE
1,"""beckel""","""racual""",53,1697,"Fewer than half",191,"false","Fewer than half","51-60",1,FALSE
1,"""pluset""","""stubad""",2,1232,"Fewer than half",136,"false","Fewer than half","1-25",1,FALSE
1,"""shrile""","""athoid""",76,969,"More than half",143,"true","More than half","76-100",1,FALSE
1,"""strant""","""potind""",1,704,"Most",160,"false","Most","1-25",0,FALSE
1,"""chevel""","""podden""",28,1272,"More than half",135,"false","More than half","26-40",0,FALSE
1,"""fleeve""","""scalfs""",46,824,"Many",136,"true","Many","41-50",1,FALSE
1,"""isbant""","""unairs""",27,928,"Few",168,"true","Few","26-40",0,FALSE
1,"""sporer""","""firtly""",46,744,"More than half",160,"true","More than half","41-50",1,FALSE
1,"""kustle""","""reshix""",21,576,"Most",134,"false","Most","1-25",0,FALSE
1,"""coamin""","""mucond""",67,368,"Few",168,"true","Few","61-75",0,FALSE
1,"""puctor""","""recure""",10,576,"Fewer than half",47,"false","Fewer than half","1-25",1,FALSE
1,"""chulks""","""vulhor""",89,743,"Fewer than half",135,"true","Fewer than half","76-100",0,FALSE
1,"""middor""","""drooty""",75,785,"Many",160,"true","Many","61-75",1,FALSE
1,"""tecker""","""biller""",43,535,"Fewer than half",144,"true","Fewer than half","41-50",0,FALSE
1,"""fleeve""","""scalfs""",89,816,"More than half",208,"true","More than half","76-100",1,FALSE
1,"""boddle""","""molill""",18,600,"More than half",192,"false","More than half","1-25",0,FALSE
1,"""menner""","""nandow""",32,712,"More than half",177,"false","More than half","26-40",0,FALSE
1,"""bemble""","""squank""",94,792,"Most",176,"true","Most","76-100",1,FALSE
1,"""raster""","""movell""",82,319,"Few",200,"true","Few","76-100",0,FALSE
1,"""schook""","""jabant""",39,769,"Most",192,"false","Most","26-40",0,FALSE
1,"""pengyl""","""sedest""",18,640,"Many",143,"false","Many","1-25",0,FALSE
1,"""mecket""","""plumry""",82,657,"More than half",207,"true","More than half","76-100",1,FALSE
1,"""kustle""","""reshix""",99,664,"Few",167,"true","Few","76-100",0,FALSE
1,"""clidge""","""hensly""",97,504,"Fewer than half",143,"true","Fewer than half","76-100",0,FALSE
1,"""awplor""","""fasees""",21,528,"Few",151,"false","Few","1-25",1,FALSE
1,"""pobbit""","""spippy""",69,624,"Most",704,"true","Most","61-75",1,FALSE
1,"""cosutz""","""spover""",53,528,"More than half",119,"true","More than half","51-60",1,FALSE
1,"""pengyl""","""sedest""",65,800,"Fewer than half",159,"true","Fewer than half","61-75",0,FALSE
1,"""middor""","""drooty""",97,584,"More than half",143,"true","More than half","76-100",1,FALSE
1,"""shrile""","""athoid""",37,672,"Most",167,"false","Most","26-40",0,FALSE
1,"""pirter""","""secent""",99,664,"Few",152,"true","Few","76-100",0,FALSE
1,"""coamin""","""mucond""",87,761,"Fewer than half",120,"true","Fewer than half","76-100",0,FALSE
1,"""birler""","""enciad""",49,688,"Few",144,"false","Few","41-50",1,FALSE
1,"""strant""","""potind""",81,488,"More than half",146,"true","More than half","76-100",1,FALSE
1,"""hadder""","""ollidy""",75,560,"Few",167,"true","Few","61-75",0,FALSE
1,"""boddle""","""molill""",15,680,"Fewer than half",120,"false","Fewer than half","1-25",1,FALSE
1,"""fleeve""","""scalfs""",11,592,"Most",143,"false","Most","1-25",0,FALSE
1,"""pluset""","""stubad""",44,744,"More than half",126,"true","More than half","41-50",1,FALSE
1,"""ancits""","""smeath""",85,760,"Fewer than half",144,"true","Fewer than half","76-100",0,FALSE
1,"""tiklet""","""hullaw""",72,704,"More than half",271,"true","More than half","61-75",1,FALSE
1,"""pliper""","""sesare""",51,848,"Few",104,"true","Few","51-60",0,FALSE
1,"""puctor""","""recure""",31,648,"Many",145,"false","Many","26-40",0,FALSE
1,"""coppar""","""hunene""",30,655,"Fewer than half",344,"false","Fewer than half","26-40",1,FALSE
1,"""zetten""","""unfobs""",87,944,"More than half",183,"true","More than half","76-100",1,FALSE
1,"""clidge""","""hensly""",8,807,"Many",80,"false","Many","1-25",0,FALSE
1,"""umpond""","""marire""",27,873,"Few",208,"false","Few","26-40",1,FALSE
1,"""ancits""","""smeath""",58,800,"Few",183,"true","Few","51-60",0,FALSE
1,"""beckel""","""racual""",57,727,"More than half",136,"true","More than half","51-60",1,FALSE
1,"""birler""","""enciad""",25,536,"More than half",121,"false","More than half","1-25",0,FALSE
1,"""raster""","""movell""",65,528,"Most",151,"true","Most","61-75",1,FALSE
1,"""beckel""","""racual""",51,496,"Few",399,"true","Few","51-60",0,FALSE
1,"""ingell""","""nalill""",19,457,"Fewer than half",144,"true","Fewer than half","1-25",0,FALSE
1,"""mecket""","""plumry""",8,865,"Most",287,"false","Most","1-25",0,FALSE
1,"""chulks""","""vulhor""",56,912,"Few",72,"true","Few","51-60",0,FALSE
1,"""devole""","""sholly""",27,735,"More than half",128,"false","More than half","26-40",0,FALSE
1,"""bemble""","""squank""",40,880,"Many",167,"true","Many","26-40",1,FALSE
1,"""russer""","""huttle""",43,679,"Few",168,"true","Few","41-50",0,FALSE
1,"""mecket""","""plumry""",27,679,"Few",335,"false","Few","26-40",1,FALSE
1,"""hadder""","""ollidy""",98,609,"More than half",119,"true","More than half","76-100",1,FALSE
1,"""pobbit""","""spippy""",39,641,"Fewer than half",152,"false","Fewer than half","26-40",1,FALSE
1,"""dorder""","""coggon""",76,751,"Most",184,"true","Most","76-100",1,FALSE
1,"""pliper""","""sesare""",80,544,"Most",368,"true","Most","76-100",1,FALSE
1,"""pobbit""","""spippy""",39,616,"More than half",128,"false","More than half","26-40",0,FALSE
1,"""devole""","""sholly""",35,944,"Fewer than half",137,"false","Fewer than half","26-40",1,FALSE
1,"""chadop""","""shaple""",44,753,"Most",160,"true","Most","41-50",1,FALSE
1,"""cosutz""","""spover""",49,935,"Most",120,"true","Most","41-50",1,FALSE
1,"""pirter""","""secent""",47,696,"More than half",191,"true","More than half","41-50",1,FALSE
1,"""cather""","""funder""",13,592,"Fewer than half",72,"false","Fewer than half","1-25",1,FALSE
1,"""birler""","""enciad""",67,592,"Most",118,"true","Most","61-75",1,FALSE
1,"""pengyl""","""sedest""",2,600,"Most",191,"false","Most","1-25",0,FALSE
1,"""jallem""","""sildal""",87,553,"Many",208,"true","Many","76-100",1,FALSE
1,"""dorder""","""coggon""",8,488,"Fewer than half",112,"true","Fewer than half","1-25",0,FALSE
1,"""clidge""","""hensly""",5,679,"Few",48,"false","Few","1-25",1,FALSE
1,"""shrile""","""athoid""",80,712,"Fewer than half",199,"true","Fewer than half","76-100",0,FALSE
1,"""schook""","""jabant""",78,544,"More than half",97,"true","More than half","76-100",1,FALSE
1,"""cather""","""funder""",27,560,"Many",160,"false","Many","26-40",0,FALSE
1,"""birler""","""enciad""",27,601,"Fewer than half",104,"false","Fewer than half","26-40",1,FALSE
1,"""tiklet""","""hullaw""",19,681,"Most",48,"false","Most","1-25",0,FALSE
1,"""dorder""","""coggon""",33,672,"Few",95,"true","Few","26-40",0,FALSE
1,"""chevel""","""podden""",41,512,"Many",96,"true","Many","41-50",1,FALSE
1,"""birler""","""enciad""",94,536,"Many",88,"true","Many","76-100",1,FALSE
1,"""mecket""","""plumry""",57,488,"Many",88,"true","Many","51-60",1,FALSE
1,"""shurry""","""preser""",52,825,"Fewer than half",104,"true","Fewer than half","51-60",0,FALSE
1,"""russer""","""huttle""",11,624,"Fewer than half",87,"false","Fewer than half","1-25",1,FALSE
1,"""cather""","""funder""",82,608,"Most",192,"true","Most","76-100",1,FALSE
1,"""jallem""","""sildal""",53,504,"Most",255,"true","Most","51-60",1,FALSE
1,"""mecket""","""plumry""",79,456,"Fewer than half",136,"true","Fewer than half","76-100",0,FALSE
1,"""padnet""","""fanely""",54,424,"Many",127,"true","Many","51-60",1,FALSE
1,"""monter""","""melelt""",62,561,"More than half",88,"true","More than half","61-75",1,FALSE
1,"""kustle""","""reshix""",60,520,"More than half",152,"true","More than half","51-60",1,FALSE
1,"""gukbar""","""soarse""",15,703,"Most",161,"false","Most","1-25",0,FALSE
1,"""monter""","""melelt""",91,481,"Fewer than half",263,"true","Fewer than half","76-100",0,FALSE
1,"""bemble""","""squank""",2,720,"More than half",150,"false","More than half","1-25",0,FALSE
1,"""zetten""","""unfobs""",54,896,"Fewer than half",128,"true","Fewer than half","51-60",0,FALSE
1,"""werner""","""hurmer""",35,831,"Most",104,"false","Most","26-40",0,FALSE
1,"""chadop""","""shaple""",56,607,"Fewer than half",87,"false","Fewer than half","51-60",1,FALSE
1,"""fleeve""","""scalfs""",98,856,"Few",119,"true","Few","76-100",0,FALSE
1,"""puggle""","""entand""",93,688,"Fewer than half",127,"true","Fewer than half","76-100",0,FALSE
1,"""cather""","""funder""",32,504,"Few",143,"false","Few","26-40",1,FALSE
1,"""pluset""","""stubad""",35,1897,"Few",87,"true","Few","26-40",0,FALSE
1,"""clidge""","""hensly""",83,561,"More than half",151,"true","More than half","76-100",1,FALSE
1,"""zetten""","""unfobs""",69,344,"Few",112,"true","Few","61-75",0,FALSE
1,"""ancits""","""smeath""",88,449,"More than half",72,"true","More than half","76-100",1,FALSE
1,"""hadder""","""ollidy""",94,920,"Fewer than half",64,"true","Fewer than half","76-100",0,FALSE
1,"""chevel""","""podden""",22,360,"Fewer than half",48,"true","Fewer than half","1-25",0,FALSE
1,"""cosutz""","""spover""",74,648,"Fewer than half",95,"true","Fewer than half","61-75",0,FALSE
1,"""werner""","""hurmer""",73,488,"Fewer than half",240,"true","Fewer than half","61-75",0,FALSE
1,"""padnet""","""fanely""",45,512,"More than half",40,"true","More than half","41-50",1,FALSE
1,"""gukbar""","""soarse""",59,599,"Fewer than half",176,"true","Fewer than half","51-60",0,FALSE
1,"""middor""","""drooty""",64,687,"Fewer than half",97,"true","Fewer than half","61-75",0,FALSE
1,"""jallem""","""sildal""",38,657,"More than half",104,"false","More than half","26-40",0,FALSE
1,"""padnet""","""fanely""",28,554,"Fewer than half",135,"false","Fewer than half","26-40",1,FALSE
1,"""sporer""","""firtly""",73,401,"Most",264,"false","Most","61-75",0,FALSE
1,"""coppar""","""hunene""",4,624,"Few",88,"false","Few","1-25",1,FALSE
1,"""raster""","""movell""",83,649,"Many",103,"true","Many","76-100",1,FALSE
1,"""strant""","""potind""",58,562,"Fewer than half",95,"true","Fewer than half","51-60",0,FALSE
1,"""menner""","""nandow""",56,447,"Few",94,"true","Few","51-60",0,FALSE
1,"""cather""","""funder""",42,688,"More than half",88,"false","More than half","41-50",0,FALSE
1,"""ingell""","""nalill""",29,775,"Many",111,"false","Many","26-40",0,FALSE
1,"""boddle""","""molill""",73,543,"Many",96,"true","Many","61-75",1,FALSE
1,"""sporer""","""firtly""",3,600,"Fewer than half",103,"false","Fewer than half","1-25",1,FALSE
1,"""chulks""","""vulhor""",86,527,"More than half",111,"true","More than half","76-100",1,FALSE
1,"""monter""","""melelt""",52,577,"Few",112,"true","Few","51-60",0,FALSE
1,"""bameta""","""unzast""",48,600,"More than half",80,"true","More than half","41-50",1,FALSE
1,"""shamer""","""bloifs""",40,592,"Most",64,"true","Most","26-40",1,FALSE
1,"""raster""","""movell""",24,728,"Fewer than half",80,"false","Fewer than half","1-25",1,FALSE
1,"""isbant""","""unairs""",20,624,"More than half",95,"false","More than half","1-25",0,FALSE
1,"""pluset""","""stubad""",70,631,"Most",96,"true","Most","61-75",1,FALSE
1,"""pengyl""","""sedest""",79,560,"Few",88,"true","Few","76-100",0,FALSE
1,"""shamer""","""bloifs""",72,592,"Few",79,"true","Few","61-75",0,FALSE
1,"""bemble""","""squank""",16,600,"Fewer than half",80,"false","Fewer than half","1-25",1,FALSE
1,"""dorder""","""coggon""",89,528,"Many",77,"true","Many","76-100",1,FALSE
1,"""coamin""","""mucond""",96,424,"Many",95,"true","Many","76-100",1,FALSE
1,"""padnet""","""fanely""",6,640,"Few",88,"false","Few","1-25",1,FALSE
1,"""devole""","""sholly""",2,681,"Many",96,"false","Many","1-25",0,FALSE
1,"""chulks""","""vulhor""",69,1055,"Many",112,"true","Many","61-75",1,FALSE
1,"""puggle""","""entand""",84,504,"More than half",120,"true","More than half","76-100",1,FALSE
1,"""coamin""","""mucond""",13,728,"Most",72,"false","Most","1-25",0,FALSE
1,"""shrile""","""athoid""",91,800,"Few",120,"true","Few","76-100",0,FALSE
1,"""puctor""","""recure""",11,729,"More than half",88,"false","More than half","1-25",0,FALSE
1,"""dorder""","""coggon""",6,633,"More than half",128,"false","More than half","1-25",0,FALSE
1,"""isbant""","""unairs""",93,608,"Many",104,"true","Many","76-100",1,FALSE
1,"""coppar""","""hunene""",49,609,"More than half",80,"true","More than half","41-50",1,FALSE
1,"""spunge""","""wenple""",10,969,"Most",80,"false","Most","1-25",0,FALSE
1,"""menner""","""nandow""",74,657,"Most",72,"true","Most","61-75",1,FALSE
1,"""russer""","""huttle""",92,432,"Most",72,"true","Most","76-100",1,FALSE
1,"""shrile""","""athoid""",11,417,"Many",88,"true","Many","1-25",1,FALSE
1,"""devole""","""sholly""",72,457,"Most",87,"true","Most","61-75",1,FALSE
1,"""tiklet""","""hullaw""",48,617,"Many",88,"true","Many","41-50",1,FALSE
1,"""tecker""","""biller""",60,512,"Most",64,"true","Most","51-60",1,FALSE
1,"""awplor""","""fasees""",16,879,"More than half",66,"false","More than half","1-25",0,FALSE
1,"""pliper""","""sesare""",15,592,"More than half",81,"false","More than half","1-25",0,FALSE
1,"""gukbar""","""soarse""",55,463,"Few",80,"false","Few","51-60",1,FALSE
1,"""sporer""","""firtly""",33,759,"Few",88,"true","Few","26-40",0,FALSE
1,"""cosutz""","""spover""",32,456,"Few",87,"true","Few","26-40",0,FALSE
1,"""ingell""","""nalill""",90,856,"Most",97,"true","Most","76-100",1,FALSE
1,"""umpond""","""marire""",30,1017,"More than half",129,"true","More than half","26-40",1,FALSE
2,"""sporer""","""firtly""",11,1471,"Few",2695,"true","Few","1-25",0,FALSE
2,"""chadop""","""shaple""",71,1638,"Many",1471,"true","Many","61-75",1,FALSE
2,"""coamin""","""mucond""",51,1176,"Fewer than half",1504,"false","Fewer than half","51-60",1,FALSE
2,"""shrile""","""athoid""",58,1104,"Fewer than half",1056,"false","Fewer than half","51-60",1,FALSE
2,"""spunge""","""wenple""",31,1343,"More than half",1158,"false","More than half","26-40",0,FALSE
2,"""strant""","""potind""",9,1201,"Few",1089,"true","Few","1-25",0,FALSE
2,"""puctor""","""recure""",37,1489,"Most",1409,"false","Most","26-40",0,FALSE
2,"""werner""","""hurmer""",6,1128,"More than half",1311,"false","More than half","1-25",0,FALSE
2,"""pluset""","""stubad""",57,2104,"More than half",1609,"true","More than half","51-60",1,FALSE
2,"""pobbit""","""spippy""",37,1496,"Fewer than half",1785,"true","Fewer than half","26-40",0,FALSE
2,"""devole""","""sholly""",43,985,"Many",1216,"false","Many","41-50",0,FALSE
2,"""raster""","""movell""",38,841,"Most",1088,"false","Most","26-40",0,FALSE
2,"""monter""","""melelt""",11,1967,"Few",1391,"true","Few","1-25",0,FALSE
2,"""gukbar""","""soarse""",60,1242,"Most",1464,"true","Most","51-60",1,FALSE
2,"""bemble""","""squank""",74,1097,"More than half",1465,"true","More than half","61-75",1,FALSE
2,"""hadder""","""ollidy""",97,1889,"Most",1991,"true","Most","76-100",1,FALSE
2,"""pluset""","""stubad""",58,1472,"Few",1312,"false","Few","51-60",1,FALSE
2,"""jallem""","""sildal""",89,1464,"Many",1608,"true","Many","76-100",1,FALSE
2,"""shamer""","""bloifs""",93,953,"Many",937,"true","Many","76-100",1,FALSE
2,"""pengyl""","""sedest""",83,1241,"Most",1103,"true","Most","76-100",1,FALSE
2,"""birler""","""enciad""",54,1560,"More than half",1159,"true","More than half","51-60",1,FALSE
2,"""monter""","""melelt""",84,856,"Most",1264,"true","Most","76-100",1,FALSE
2,"""chevel""","""podden""",3,839,"Most",1041,"false","Most","1-25",0,FALSE
2,"""beckel""","""racual""",62,760,"Fewer than half",1168,"false","Fewer than half","61-75",1,FALSE
2,"""tecker""","""biller""",47,1159,"Fewer than half",1496,"true","Fewer than half","41-50",0,FALSE
2,"""boddle""","""molill""",76,528,"Many",1112,"true","Many","76-100",1,FALSE
2,"""isbant""","""unairs""",94,777,"Few",1176,"false","Few","76-100",1,FALSE
2,"""zetten""","""unfobs""",52,1448,"Most",1096,"true","Most","51-60",1,FALSE
2,"""middor""","""drooty""",10,672,"More than half",1543,"false","More than half","1-25",0,FALSE
2,"""sporer""","""firtly""",91,649,"More than half",1351,"true","More than half","76-100",1,FALSE
2,"""pliper""","""sesare""",62,584,"More than half",1271,"true","More than half","61-75",1,FALSE
2,"""jallem""","""sildal""",48,865,"Most",1176,"false","Most","41-50",0,FALSE
2,"""russer""","""huttle""",58,1848,"More than half",975,"true","More than half","51-60",1,FALSE
2,"""cosutz""","""spover""",88,672,"Most",1235,"true","Most","76-100",1,FALSE
2,"""puggle""","""entand""",55,705,"Most",1024,"true","Most","51-60",1,FALSE
2,"""dorder""","""coggon""",84,608,"More than half",1311,"true","More than half","76-100",1,FALSE
2,"""birler""","""enciad""",61,649,"Few",993,"false","Few","61-75",1,FALSE
2,"""clidge""","""hensly""",30,575,"More than half",903,"false","More than half","26-40",0,FALSE
2,"""pobbit""","""spippy""",74,552,"Many",880,"true","Many","61-75",1,FALSE
2,"""beckel""","""racual""",81,649,"Few",1216,"false","Few","76-100",1,FALSE
2,"""chadop""","""shaple""",85,1098,"Most",1112,"true","Most","76-100",1,FALSE
2,"""shrile""","""athoid""",7,592,"More than half",920,"false","More than half","1-25",0,FALSE
2,"""ancits""","""smeath""",41,1280,"Few",880,"false","Few","41-50",1,FALSE
2,"""mecket""","""plumry""",69,630,"Most",841,"true","Most","61-75",1,FALSE
2,"""sporer""","""firtly""",13,688,"Most",735,"false","Most","1-25",0,FALSE
2,"""monter""","""melelt""",90,600,"Many",911,"true","Many","76-100",1,FALSE
2,"""russer""","""huttle""",81,504,"Many",736,"true","Many","76-100",1,FALSE
2,"""chulks""","""vulhor""",75,465,"Many",976,"true","Many","61-75",1,FALSE
2,"""schook""","""jabant""",51,712,"Few",911,"false","Few","51-60",1,FALSE
2,"""birler""","""enciad""",45,736,"Many",623,"false","Many","41-50",0,FALSE
2,"""coppar""","""hunene""",7,1072,"Fewer than half",824,"true","Fewer than half","1-25",0,FALSE
2,"""beckel""","""racual""",19,617,"Many",648,"false","Many","1-25",0,FALSE
2,"""gukbar""","""soarse""",11,1376,"More than half",847,"false","More than half","1-25",0,FALSE
2,"""shrile""","""athoid""",36,608,"Many",712,"false","Many","26-40",0,FALSE
2,"""shrile""","""athoid""",86,830,"Few",791,"false","Few","76-100",1,FALSE
2,"""shrile""","""athoid""",68,2008,"Most",736,"true","Most","61-75",1,FALSE
2,"""chevel""","""podden""",51,816,"Few",824,"false","Few","51-60",1,FALSE
2,"""menner""","""nandow""",38,720,"Fewer than half",696,"true","Fewer than half","26-40",0,FALSE
2,"""puctor""","""recure""",87,625,"Many",633,"true","Many","76-100",1,FALSE
2,"""fleeve""","""scalfs""",30,528,"Many",848,"false","Many","26-40",0,FALSE
2,"""spunge""","""wenple""",56,807,"Most",751,"true","Most","51-60",1,FALSE
2,"""clidge""","""hensly""",80,552,"Many",655,"true","Many","76-100",1,FALSE
2,"""shamer""","""bloifs""",62,584,"Most",752,"true","Most","61-75",1,FALSE
2,"""beckel""","""racual""",3,693,"More than half",823,"false","More than half","1-25",0,FALSE
2,"""clidge""","""hensly""",79,584,"Most",560,"true","Most","76-100",1,FALSE
2,"""mecket""","""plumry""",19,560,"More than half",760,"false","More than half","1-25",0,FALSE
2,"""monter""","""melelt""",9,592,"More than half",944,"false","More than half","1-25",0,FALSE
2,"""jallem""","""sildal""",29,744,"Fewer than half",648,"true","Fewer than half","26-40",0,FALSE
2,"""spunge""","""wenple""",8,599,"Few",784,"true","Few","1-25",0,FALSE
2,"""pliper""","""sesare""",4,583,"Most",767,"false","Most","1-25",0,FALSE
2,"""tecker""","""biller""",27,841,"Few",648,"true","Few","26-40",0,FALSE
2,"""gukbar""","""soarse""",51,615,"Few",665,"false","Few","51-60",1,FALSE
2,"""puctor""","""recure""",32,880,"Fewer than half",688,"true","Fewer than half","26-40",0,FALSE
2,"""awplor""","""fasees""",33,1608,"Few",623,"true","Few","26-40",0,FALSE
2,"""awplor""","""fasees""",66,617,"More than half",664,"true","More than half","61-75",1,FALSE
2,"""shurry""","""preser""",89,696,"Most",848,"true","Most","76-100",1,FALSE
