percent,qq,workerid,theta,resp,percent_cat
36,Most,1,0.281956566105004,0,21-40
37,Most,1,0.265986957500825,0,21-40
37,Most,1,0.265986957500825,0,21-40
38,Most,1,0.250606164016286,1,21-40
38,Most,1,0.250606164016286,0,21-40
39,Most,1,0.235829017689757,0,21-40
39,Most,1,0.235829017689757,0,21-40
40,Most,1,0.221665477528563,1,21-40
40,Most,1,0.221665477528563,0,21-40
41,Most,1,0.208120907589014,0,41-60
41,Most,1,0.208120907589014,1,41-60
42,Most,1,0.195196403077252,0,41-60
42,Most,1,0.195196403077252,0,41-60
43,Most,1,0.18288915174569,1,41-60
43,Most,1,0.18288915174569,1,41-60
44,Most,1,0.171192818491605,0,41-60
44,Most,1,0.171192818491605,0,41-60
45,Most,1,0.160097942047295,0,41-60
45,Most,1,0.160097942047295,1,41-60
46,Most,1,0.149592333882705,0,41-60
46,Most,1,0.149592333882705,0,41-60
47,Most,1,0.139661470824197,0,41-60
47,Most,1,0.139661470824197,0,41-60
48,Most,1,0.130288874340638,0,41-60
48,Most,1,0.130288874340638,0,41-60
49,Most,1,0.121456470887506,0,41-60
49,Most,1,0.121456470887506,1,41-60
50,Most,1,0.113144929073305,1,41-60
50,Most,1,0.113144929073305,0,41-60
51,Most,1,0.105333970678055,0,41-60
51,Most,1,0.105333970678055,0,41-60
52,Most,1,0.0980026536824679,0,41-60
52,Most,1,0.0980026536824679,0,41-60
53,Most,1,0.09112962644298,0,41-60
53,Most,1,0.09112962644298,0,41-60
54,Most,1,0.0846933529667793,0,41-60
54,Most,1,0.0846933529667793,0,41-60
55,Most,1,0.0786723099051346,0,41-60
55,Most,1,0.0786723099051346,0,41-60
56,Most,1,0.0730451564017337,0,41-60
56,Most,1,0.0730451564017337,0,41-60
57,Most,1,0.0677908783184083,0,41-60
57,Most,1,0.0677908783184083,0,41-60
58,Most,1,0.0628889086290841,1,41-60
58,Most,1,0.0628889086290841,0,41-60
59,Most,1,0.0583192259406452,0,41-60
59,Most,1,0.0583192259406452,0,41-60
60,Most,1,0.0540624331832629,0,41-60
60,Most,1,0.0540624331832629,0,41-60
61,Most,1,0.0500998185284709,0,61-80
61,Most,1,0.0500998185284709,0,61-80
62,Most,1,0.0464134005554966,0,61-80
62,Most,1,0.0464134005554966,0,61-80
63,Most,1,0.042985959608096,0,61-80
63,Most,1,0.042985959608096,0,61-80
64,Most,1,0.0398010571767126,0,61-80
64,Most,1,0.0398010571767126,0,61-80
65,Most,1,0.0368430450137536,0,61-80
65,Most,1,0.0368430450137536,0,61-80
66,Most,1,0.0340970655510565,0,61-80
66,Most,1,0.0340970655510565,0,61-80
67,Most,1,0.0315490450445594,0,61-80
67,Most,1,0.0315490450445594,0,61-80
68,Most,1,0.029185680726772,0,61-80
68,Most,1,0.029185680726772,0,61-80
69,Most,1,0.0269944231066327,0,61-80
69,Most,1,0.0269944231066327,0,61-80
70,Most,1,0.0249634544214876,0,61-80
70,Most,1,0.0249634544214876,0,61-80
71,Most,1,0.0230816641191237,0,61-80
71,Most,1,0.0230816641191237,0,61-80
72,Most,1,0.0213386221302362,0,61-80
72,Most,1,0.0213386221302362,0,61-80
73,Most,1,0.0197245505840461,0,61-80
73,Most,1,0.0197245505840461,0,61-80
74,Most,1,0.0182302945222347,0,61-80
74,Most,1,0.0182302945222347,0,61-80
75,Most,1,0.0168472920788103,0,61-80
75,Most,1,0.0168472920788103,0,61-80
76,Most,1,0.0155675445156309,0,61-80
76,Most,1,0.0155675445156309,0,61-80
77,Most,1,0.0143835864345616,0,61-80
77,Most,1,0.0143835864345616,0,61-80
78,Most,1,0.0132884564270429,1,61-80
78,Most,1,0.0132884564270429,0,61-80
79,Most,1,0.0122756683694958,0,61-80
79,Most,1,0.0122756683694958,0,61-80
80,Most,1,0.011339183527806,0,61-80
80,Most,1,0.011339183527806,0,61-80
81,Most,1,0.0104733835954009,0,81-100
81,Most,1,0.0104733835954009,0,81-100
82,Most,1,0.0096730447564835,0,81-100
82,Most,1,0.0096730447564835,0,81-100
83,Most,1,0.00893331283816526,0,81-100
83,Most,1,0.00893331283816526,0,81-100
84,Most,1,0.00824967959193804,0,81-100
84,Most,1,0.00824967959193804,0,81-100
85,Most,1,0.00761796012558187,0,81-100
85,Most,1,0.00761796012558187,0,81-100
86,Most,1,0.00703427149070579,0,81-100
86,Most,1,0.00703427149070579,0,81-100
87,Most,1,0.00649501241819987,0,81-100
87,Most,1,0.00649501241819987,0,81-100
88,Most,1,0.00599684418352047,0,81-100
88,Most,1,0.00599684418352047,0,81-100
89,Most,1,0.00553667257556558,0,81-100
89,Most,1,0.00553667257556558,0,81-100
90,Most,1,0.00511163093659574,0,81-100
90,Most,1,0.00511163093659574,0,81-100
91,Most,1,0.00471906423592804,0,81-100
91,Most,1,0.00471906423592804,0,81-100
92,Most,1,0.00435651413672438,0,81-100
92,Most,1,0.00435651413672438,0,81-100
93,Most,1,0.00402170501289042,0,81-100
93,Most,1,0.00402170501289042,0,81-100
94,Most,1,0.00371253087170815,0,81-100
94,Most,1,0.00371253087170815,0,81-100
95,Most,1,0.00342704313717907,0,81-100
95,Most,1,0.00342704313717907,0,81-100
96,Most,1,0.00316343924901628,0,81-100
96,Most,1,0.00316343924901628,0,81-100
97,Most,1,0.00292005203267205,0,81-100
97,Most,1,0.00292005203267205,0,81-100
98,Most,1,0.00269533979662132,0,81-100
98,Most,1,0.00269533979662132,0,81-100
99,Most,1,0.00248787711425521,0,81-100
99,Most,1,0.00248787711425521,0,81-100
100,Most,1,0.00229634624909899,0,81-100
100,Most,1,0.00229634624909899,0,81-100
1,Most,2,2.22044604925031e-16,0,1-20
1,Most,2,2.22044604925031e-16,0,1-20
2,Most,2,1.86412476303804e-13,0,1-20
2,Most,2,1.86412476303804e-13,0,1-20
3,Most,2,8.93643033196057e-13,0,1-20
3,Most,2,8.93643033196057e-13,0,1-20
4,Most,2,4.28403659783051e-12,0,1-20
4,Most,2,4.28403659783051e-12,0,1-20
5,Most,2,2.05372490911464e-11,0,1-20
5,Most,2,2.05372490911464e-11,0,1-20
6,Most,2,9.84535473901839e-11,0,1-20
6,Most,2,9.84535473901839e-11,0,1-20
7,Most,2,4.7197659958385e-10,0,1-20
7,Most,2,4.7197659958385e-10,0,1-20
8,Most,2,2.26260928269271e-09,0,1-20
8,Most,2,2.26260928269271e-09,0,1-20
9,Most,2,1.08467257399254e-08,0,1-20
9,Most,2,1.08467257399254e-08,0,1-20
10,Most,2,5.19981316904862e-08,0,1-20
10,Most,2,5.19981316904862e-08,0,1-20
11,Most,2,2.49273867709118e-07,0,1-20
11,Most,2,2.49273867709118e-07,0,1-20
12,Most,2,1.19499321602784e-06,0,1-20
12,Most,2,1.19499321602784e-06,0,1-20
13,Most,2,5.72865369263349e-06,0,1-20
13,Most,2,5.72865369263349e-06,0,1-20
14,Most,2,2.7462004162982e-05,0,1-20
14,Most,2,2.7462004162982e-05,0,1-20
15,Most,2,0.000131636425554293,0,1-20
15,Most,2,0.000131636425554293,0,1-20
16,Most,2,0.000630737046281495,0,1-20
16,Most,2,0.000630737046281495,0,1-20
17,Most,2,0.00301647293470503,0,1-20
17,Most,2,0.00301647293470503,0,1-20
18,Most,2,0.0142970554826255,0,1-20
18,Most,2,0.0142970554826255,0,1-20
19,Most,2,0.0650123019422159,0,1-20
19,Most,2,0.0650123019422159,1,1-20
20,Most,2,0.249999999999653,1,1-20
20,Most,2,0.249999999999653,0,1-20
21,Most,2,0.61508366070213,1,21-40
21,Most,2,0.61508366070213,1,21-40
22,Most,2,0.884533184407387,1,21-40
22,Most,2,0.884533184407387,1,21-40
23,Most,2,0.97349144236081,1,21-40
23,Most,2,0.97349144236081,1,21-40
24,Most,2,0.994351866479874,1,21-40
24,Most,2,0.994351866479874,1,21-40
25,Most,2,0.998816518484219,1,21-40
25,Most,2,0.998816518484219,1,21-40
26,Most,2,0.999752896250246,1,21-40
26,Most,2,0.999752896250246,1,21-40
27,Most,2,0.999948444479516,1,21-40
27,Most,2,0.999948444479516,1,21-40
28,Most,2,0.999989245163871,1,21-40
28,Most,2,0.999989245163871,1,21-40
29,Most,2,0.999997756539664,1,21-40
29,Most,2,0.999997756539664,1,21-40
30,Most,2,0.999999532017009,1,21-40
30,Most,2,0.999999532017009,1,21-40
31,Most,2,0.999999902379477,1,21-40
31,Most,2,0.999999902379477,1,21-40
32,Most,2,0.999999979636517,1,21-40
32,Most,2,0.999999979636517,1,21-40
33,Most,2,0.999999995752211,1,21-40
33,Most,2,0.999999995752211,1,21-40
34,Most,2,0.999999999113918,1,21-40
34,Most,2,0.999999999113918,1,21-40
35,Most,2,0.999999999815165,1,21-40
35,Most,2,0.999999999815165,1,21-40
36,Most,2,0.999999999961444,1,21-40
36,Most,2,0.999999999961444,1,21-40
37,Most,2,0.999999999991957,1,21-40
37,Most,2,0.999999999991957,1,21-40
38,Most,2,0.999999999998322,1,21-40
38,Most,2,0.999999999998322,1,21-40
39,Most,2,0.99999999999965,1,21-40
39,Most,2,0.99999999999965,1,21-40
40,Most,2,1,1,21-40
40,Most,2,1,1,21-40
41,Most,2,1,1,41-60
41,Most,2,1,1,41-60
42,Most,2,1,1,41-60
42,Most,2,1,1,41-60
43,Most,2,1,1,41-60
43,Most,2,1,1,41-60
44,Most,2,1,1,41-60
44,Most,2,1,1,41-60
45,Most,2,1,1,41-60
45,Most,2,1,1,41-60
46,Most,2,1,1,41-60
46,Most,2,1,1,41-60
47,Most,2,1,1,41-60
47,Most,2,1,1,41-60
48,Most,2,1,1,41-60
48,Most,2,1,1,41-60
49,Most,2,1,1,41-60
49,Most,2,1,1,41-60
50,Most,2,1,1,41-60
50,Most,2,1,1,41-60
51,Most,2,1,1,41-60
51,Most,2,1,1,41-60
52,Most,2,1,1,41-60
52,Most,2,1,1,41-60
53,Most,2,1,1,41-60
53,Most,2,1,1,41-60
54,Most,2,1,1,41-60
54,Most,2,1,1,41-60
55,Most,2,1,1,41-60
55,Most,2,1,1,41-60
56,Most,2,1,1,41-60
56,Most,2,1,1,41-60
57,Most,2,1,1,41-60
57,Most,2,1,1,41-60
58,Most,2,1,1,41-60
58,Most,2,1,1,41-60
59,Most,2,1,1,41-60
59,Most,2,1,1,41-60
60,Most,2,1,1,41-60
60,Most,2,1,1,41-60
61,Most,2,1,1,61-80
61,Most,2,1,1,61-80
62,Most,2,1,1,61-80
62,Most,2,1,1,61-80
63,Most,2,1,1,61-80
63,Most,2,1,1,61-80
64,Most,2,1,1,61-80
64,Most,2,1,1,61-80
65,Most,2,1,1,61-80
65,Most,2,1,1,61-80
66,Most,2,1,1,61-80
66,Most,2,1,1,61-80
67,Most,2,1,1,61-80
67,Most,2,1,1,61-80
68,Most,2,1,1,61-80
68,Most,2,1,1,61-80
69,Most,2,1,1,61-80
69,Most,2,1,1,61-80
70,Most,2,1,1,61-80
70,Most,2,1,1,61-80
71,Most,2,1,1,61-80
71,Most,2,1,1,61-80
72,Most,2,1,1,61-80
72,Most,2,1,1,61-80
73,Most,2,1,1,61-80
73,Most,2,1,1,61-80
74,Most,2,1,1,61-80
74,Most,2,1,1,61-80
75,Most,2,1,1,61-80
75,Most,2,1,1,61-80
76,Most,2,1,1,61-80
76,Most,2,1,1,61-80
77,Most,2,1,1,61-80
77,Most,2,1,1,61-80
78,Most,2,1,1,61-80
78,Most,2,1,1,61-80
79,Most,2,1,1,61-80
79,Most,2,1,1,61-80
80,Most,2,1,1,61-80
80,Most,2,1,1,61-80
81,Most,2,1,1,81-100
81,Most,2,1,1,81-100
82,Most,2,1,1,81-100
82,Most,2,1,1,81-100
83,Most,2,1,1,81-100
83,Most,2,1,1,81-100
84,Most,2,1,1,81-100
84,Most,2,1,1,81-100
85,Most,2,1,1,81-100
85,Most,2,1,1,81-100
86,Most,2,1,1,81-100
86,Most,2,1,1,81-100
87,Most,2,1,1,81-100
87,Most,2,1,1,81-100
88,Most,2,1,1,81-100
88,Most,2,1,1,81-100
89,Most,2,1,1,81-100
89,Most,2,1,1,81-100
90,Most,2,1,1,81-100
90,Most,2,1,1,81-100
91,Most,2,1,1,81-100
91,Most,2,1,1,81-100
92,Most,2,1,1,81-100
92,Most,2,1,1,81-100
93,Most,2,1,1,81-100
93,Most,2,1,1,81-100
94,Most,2,1,1,81-100
94,Most,2,1,1,81-100
95,Most,2,1,1,81-100
95,Most,2,1,1,81-100
96,Most,2,1,1,81-100
96,Most,2,1,1,81-100
97,Most,2,1,1,81-100
97,Most,2,1,1,81-100
98,Most,2,1,1,81-100
98,Most,2,1,1,81-100
99,Most,2,1,1,81-100
99,Most,2,1,1,81-100
100,Most,2,1,1,81-100
100,Most,2,1,1,81-100
1,Most,3,0.0805627722385662,0,1-20
1,Most,3,0.0805627722385662,0,1-20
2,Most,3,0.0849778433714843,0,1-20
2,Most,3,0.0849778433714843,0,1-20
3,Most,3,0.0896112910181547,1,1-20
3,Most,3,0.0896112910181547,0,1-20
4,Most,3,0.0944712952608752,1,1-20
4,Most,3,0.0944712952608752,0,1-20
5,Most,3,0.099566051652129,0,1-20
5,Most,3,0.099566051652129,0,1-20
6,Most,3,0.104903733979642,0,1-20
6,Most,3,0.104903733979642,1,1-20
7,Most,3,0.110492453013529,0,1-20
7,Most,3,0.110492453013529,0,1-20
8,Most,3,0.116340211132256,0,1-20
8,Most,3,0.116340211132256,0,1-20
9,Most,3,0.122454852765627,0,1-20
9,Most,3,0.122454852765627,0,1-20
10,Most,3,0.128844010642565,0,1-20
10,Most,3,0.128844010642565,0,1-20
11,Most,3,0.135515047889524,0,1-20
11,Most,3,0.135515047889524,0,1-20
12,Most,3,0.1424749960921,0,1-20
12,Most,3,0.1424749960921,0,1-20
13,Most,3,0.14973048950787,0,1-20
13,Most,3,0.14973048950787,0,1-20
14,Most,3,0.157287695702439,0,1-20
14,Most,3,0.157287695702439,0,1-20
15,Most,3,0.165152242972524,0,1-20
15,Most,3,0.165152242972524,1,1-20
16,Most,3,0.173329145018851,0,1-20
16,Most,3,0.173329145018851,0,1-20
17,Most,3,0.181822723436329,0,1-20
17,Most,3,0.181822723436329,0,1-20
18,Most,3,0.190636528697796,0,1-20
18,Most,3,0.190636528697796,0,1-20
19,Most,3,0.199773260418388,0,1-20
19,Most,3,0.199773260418388,0,1-20
20,Most,3,0.209234687797731,0,1-20
20,Most,3,0.209234687797731,0,1-20
21,Most,3,0.219021571243694,0,21-40
21,Most,3,0.219021571243694,0,21-40
22,Most,3,0.229133586280892,0,21-40
22,Most,3,0.229133586280892,0,21-40
23,Most,3,0.239569250935779,0,21-40
23,Most,3,0.239569250935779,0,21-40
24,Most,3,0.250325857863989,0,21-40
24,Most,3,0.250325857863989,0,21-40
25,Most,3,0.261399412540396,1,21-40
25,Most,3,0.261399412540396,0,21-40
26,Most,3,0.272784578864095,1,21-40
26,Most,3,0.272784578864095,1,21-40
27,Most,3,0.284474633535148,0,21-40
27,Most,3,0.284474633535148,1,21-40
28,Most,3,0.296461430533975,0,21-40
28,Most,3,0.296461430533975,1,21-40
29,Most,3,0.308735376974687,0,21-40
29,Most,3,0.308735376974687,0,21-40
30,Most,3,0.321285421508432,0,21-40
30,Most,3,0.321285421508432,1,21-40
31,Most,3,0.334099056320574,1,21-40
31,Most,3,0.334099056320574,0,21-40
32,Most,3,0.347162333596634,1,21-40
32,Most,3,0.347162333596634,0,21-40
33,Most,3,0.360459897127518,1,21-40
33,Most,3,0.360459897127518,0,21-40
34,Most,3,0.373975029487666,1,21-40
34,Most,3,0.373975029487666,0,21-40
35,Most,3,0.387689714954733,1,21-40
35,Most,3,0.387689714954733,1,21-40
36,Most,3,0.401584718051917,0,21-40
36,Most,3,0.401584718051917,0,21-40
37,Most,3,0.415639677291384,0,21-40
37,Most,3,0.415639677291384,1,21-40
38,Most,3,0.429833213387475,0,21-40
38,Most,3,0.429833213387475,0,21-40
39,Most,3,0.444143050900736,0,21-40
39,Most,3,0.444143050900736,1,21-40
40,Most,3,0.458546151977751,1,21-40
40,Most,3,0.458546151977751,0,21-40
41,Most,3,0.473018860577046,0,41-60
41,Most,3,0.473018860577046,1,41-60
42,Most,3,0.487537055327237,1,41-60
42,Most,3,0.487537055327237,0,41-60
43,Most,3,0.502076308958674,1,41-60
43,Most,3,0.502076308958674,0,41-60
44,Most,3,0.516612052091493,1,41-60
44,Most,3,0.516612052091493,1,41-60
45,Most,3,0.531119739056915,0,41-60
45,Most,3,0.531119739056915,1,41-60
46,Most,3,0.545575013378889,0,41-60
46,Most,3,0.545575013378889,1,41-60
47,Most,3,0.559953870551476,0,41-60
47,Most,3,0.559953870551476,0,41-60
48,Most,3,0.574232815813515,0,41-60
48,Most,3,0.574232815813515,1,41-60
49,Most,3,0.58838901474357,1,41-60
49,Most,3,0.58838901474357,1,41-60
50,Most,3,0.602400434670483,1,41-60
50,Most,3,0.602400434670483,0,41-60
51,Most,3,0.616245975111764,0,41-60
51,Most,3,0.616245975111764,1,41-60
52,Most,3,0.629905585705808,1,41-60
52,Most,3,0.629905585705808,0,41-60
53,Most,3,0.643360370385707,1,41-60
53,Most,3,0.643360370385707,0,41-60
54,Most,3,0.656592676842795,1,41-60
54,Most,3,0.656592676842795,0,41-60
55,Most,3,0.669586170637264,1,41-60
55,Most,3,0.669586170637264,0,41-60
56,Most,3,0.682325893621816,1,41-60
56,Most,3,0.682325893621816,1,41-60
57,Most,3,0.694798306643481,1,41-60
57,Most,3,0.694798306643481,1,41-60
58,Most,3,0.706991316770429,1,41-60
58,Most,3,0.706991316770429,1,41-60
59,Most,3,0.718894289548167,1,41-60
59,Most,3,0.718894289548167,1,41-60
60,Most,3,0.730498047017487,1,41-60
60,Most,3,0.730498047017487,1,41-60
61,Most,3,0.741794852421003,1,61-80
61,Most,3,0.741794852421003,1,61-80
62,Most,3,0.752778382683678,0,61-80
62,Most,3,0.752778382683678,1,61-80
63,Most,3,0.763443689874307,1,61-80
63,Most,3,0.763443689874307,1,61-80
64,Most,3,0.773787152939847,0,61-80
64,Most,3,0.773787152939847,1,61-80
65,Most,3,0.783806421054211,0,61-80
65,Most,3,0.783806421054211,1,61-80
66,Most,3,0.793500349940001,1,61-80
66,Most,3,0.793500349940001,1,61-80
67,Most,3,0.802868932508929,1,61-80
67,Most,3,0.802868932508929,0,61-80
68,Most,3,0.811913225127914,1,61-80
68,Most,3,0.811913225127914,1,61-80
69,Most,3,0.820635270757196,1,61-80
69,Most,3,0.820635270757196,1,61-80
70,Most,3,0.82903802012832,1,61-80
70,Most,3,0.82903802012832,1,61-80
71,Most,3,0.837125252037716,1,61-80
71,Most,3,0.837125252037716,1,61-80
72,Most,3,0.844901493729744,1,61-80
72,Most,3,0.844901493729744,1,61-80
73,Most,3,0.852371942235192,1,61-80
73,Most,3,0.852371942235192,0,61-80
74,Most,3,0.859542387420587,1,61-80
74,Most,3,0.859542387420587,0,61-80
75,Most,3,0.866419137393233,1,61-80
75,Most,3,0.866419137393233,1,61-80
76,Most,3,0.873008946799039,1,61-80
76,Most,3,0.873008946799039,1,61-80
77,Most,3,0.879318948447018,1,61-80
77,Most,3,0.879318948447018,0,61-80
78,Most,3,0.885356588597279,1,61-80
78,Most,3,0.885356588597279,1,61-80
79,Most,3,0.891129566159689,1,61-80
79,Most,3,0.891129566159689,1,61-80
80,Most,3,0.896645775968792,1,61-80
80,Most,3,0.896645775968792,1,61-80
81,Most,3,0.901913256227625,1,81-100
81,Most,3,0.901913256227625,0,81-100
82,Most,3,0.90694014014878,1,81-100
82,Most,3,0.90694014014878,1,81-100
83,Most,3,0.911734611765502,0,81-100
83,Most,3,0.911734611765502,1,81-100
84,Most,3,0.916304865838358,1,81-100
84,Most,3,0.916304865838358,1,81-100
85,Most,3,0.920659071743795,1,81-100
85,Most,3,0.920659071743795,1,81-100
86,Most,3,0.92480534119906,1,81-100
86,Most,3,0.92480534119906,1,81-100
87,Most,3,0.928751699652953,1,81-100
87,Most,3,0.928751699652953,1,81-100
88,Most,3,0.932506061153062,1,81-100
88,Most,3,0.932506061153062,1,81-100
89,Most,3,0.936076206486817,1,81-100
89,Most,3,0.936076206486817,0,81-100
90,Most,3,0.939469764385153,1,81-100
90,Most,3,0.939469764385153,1,81-100
91,Most,3,0.942694195573335,1,81-100
91,Most,3,0.942694195573335,1,81-100
92,Most,3,0.945756779452677,1,81-100
92,Most,3,0.945756779452677,1,81-100
93,Most,3,0.948664603199159,0,81-100
93,Most,3,0.948664603199159,1,81-100
94,Most,3,0.95142455306962,1,81-100
94,Most,3,0.95142455306962,1,81-100
95,Most,3,0.954043307712848,1,81-100
95,Most,3,0.954043307712848,1,81-100
96,Most,3,0.956527333291057,1,81-100
96,Most,3,0.956527333291057,1,81-100
97,Most,3,0.958882880226581,1,81-100
97,Most,3,0.958882880226581,1,81-100
98,Most,3,0.961115981398744,1,81-100
98,Most,3,0.961115981398744,1,81-100
99,Most,3,0.963232451626527,1,81-100
99,Most,3,0.963232451626527,0,81-100
100,Most,3,0.965237888283605,1,81-100
100,Most,3,0.965237888283605,1,81-100
1,Most,4,0.000203473507678191,0,1-20
1,Most,4,0.000203473507678191,0,1-20
2,Most,4,0.00024052139812436,0,1-20
2,Most,4,0.00024052139812436,0,1-20
3,Most,4,0.000284312947192721,0,1-20
3,Most,4,0.000284312947192721,0,1-20
4,Most,4,0.000336074910282152,0,1-20
4,Most,4,0.000336074910282152,0,1-20
5,Most,4,0.000397256902166862,0,1-20
5,Most,4,0.000397256902166862,0,1-20
6,Most,4,0.000469571762669844,0,1-20
6,Most,4,0.000469571762669844,0,1-20
7,Most,4,0.000555043185848077,0,1-20
7,Most,4,0.000555043185848077,0,1-20
8,Most,4,0.000656061900703063,0,1-20
8,Most,4,0.000656061900703063,0,1-20
9,Most,4,0.000775451912241845,0,1-20
9,Most,4,0.000775451912241845,0,1-20
10,Most,4,0.000916548567319927,0,1-20
10,Most,4,0.000916548567319927,0,1-20
11,Most,4,0.00108329050431423,0,1-20
11,Most,4,0.00108329050431423,0,1-20
12,Most,4,0.00128032788346217,0,1-20
12,Most,4,0.00128032788346217,0,1-20
13,Most,4,0.00151314967944588,0,1-20
13,Most,4,0.00151314967944588,0,1-20
14,Most,4,0.00178823325240679,0,1-20
14,Most,4,0.00178823325240679,0,1-20
15,Most,4,0.0021132198993339,0,1-20
15,Most,4,0.0021132198993339,0,1-20
16,Most,4,0.00249712062325796,0,1-20
16,Most,4,0.00249712062325796,0,1-20
17,Most,4,0.0029505569372077,0,1-20
17,Most,4,0.0029505569372077,0,1-20
18,Most,4,0.00348604213125604,0,1-20
18,Most,4,0.00348604213125604,0,1-20
19,Most,4,0.00411830905243684,0,1-20
19,Most,4,0.00411830905243684,0,1-20
20,Most,4,0.00486469104325001,0,1-20
20,Most,4,0.00486469104325001,0,1-20
21,Most,4,0.00574556319971487,0,21-40
21,Most,4,0.00574556319971487,0,21-40
22,Most,4,0.00678485146204178,0,21-40
22,Most,4,0.00678485146204178,0,21-40
23,Most,4,0.00801061712024975,0,21-40
23,Most,4,0.00801061712024975,0,21-40
24,Most,4,0.0094557239336422,0,21-40
24,Most,4,0.0094557239336422,0,21-40
25,Most,4,0.0111585939911699,0,21-40
25,Most,4,0.0111585939911699,0,21-40
26,Most,4,0.0131640563587227,0,21-40
26,Most,4,0.0131640563587227,0,21-40
27,Most,4,0.0155242890427549,0,21-40
27,Most,4,0.0155242890427549,0,21-40
28,Most,4,0.0182998492937485,0,21-40
28,Most,4,0.0182998492937485,0,21-40
29,Most,4,0.0215607790802481,0,21-40
29,Most,4,0.0215607790802481,0,21-40
30,Most,4,0.0253877608381092,0,21-40
30,Most,4,0.0253877608381092,0,21-40
31,Most,4,0.0298732823651748,0,21-40
31,Most,4,0.0298732823651748,0,21-40
32,Most,4,0.0351227479511697,0,21-40
32,Most,4,0.0351227479511697,0,21-40
33,Most,4,0.0412554445468183,0,21-40
33,Most,4,0.0412554445468183,0,21-40
34,Most,4,0.0484052363599786,0,21-40
34,Most,4,0.0484052363599786,0,21-40
35,Most,4,0.0567208188469456,0,21-40
35,Most,4,0.0567208188469456,0,21-40
36,Most,4,0.066365315148588,0,21-40
36,Most,4,0.066365315148588,0,21-40
37,Most,4,0.0775149483411458,0,21-40
37,Most,4,0.0775149483411458,0,21-40
38,Most,4,0.090356478446186,0,21-40
38,Most,4,0.090356478446186,0,21-40
39,Most,4,0.105083065338678,0,21-40
39,Most,4,0.105083065338678,0,21-40
40,Most,4,0.121888223948906,0,21-40
40,Most,4,0.121888223948906,0,21-40
41,Most,4,0.140957597730474,1,41-60
41,Most,4,0.140957597730474,0,41-60
42,Most,4,0.162458414151418,0,41-60
42,Most,4,0.162458414151418,0,41-60
43,Most,4,0.186526723318682,0,41-60
43,Most,4,0.186526723318682,1,41-60
